mjsdxxb12q3bA01	16的平方根是（)<br/>
mjsdxxb12q3bA02	下列说法中，正确的是（）<br/>
mjsdxxb12q3bA03	下列各式中，正确的是（）<br/>
mjsdxxb12q3bA04	如图，若数轴上的点A、B、C、D表示数-2、1、2、3，则表示\\[4-\\sqrt{7}\\]的点P应在线段（  ）<br/>
mjsdxxb12q3bA05	—座建筑物发生了火灾，消防车到达现场后，发现最多只能靠近建筑物底端5 m，消防车的云 梯最大升长为13m，则云梯可以达到该建筑物的最大高度是（ ).<br/><br/>
mjsdxxb12q3bA06	三角形三边a、b、c，满足\\[{{\\left( a+b \\right)}^{2}}={{c}^{2}}+2ab\\]，则这个三角形是（  ）<br/>
mjsdxxb12q3bA07	如图,在单位小正方形组成的网格图中有AB、CD、EF、GH四条线段.其中能构成一个直角三角形的线段是（ ）<br/>
mjsdxxb12q3bA08	要从电杆离地面4 m处向地面拉一条长为5m的电缆，则地面电缆固定点与电线杆底部的距离应为（  )<br/>
mjsdxxb12q3bA09	\\[2-\\sqrt{3}\\]的相反数是 __________.<br/>
mjsdxxb12q3bA10	若一个偶数的立方根比2大，平方根比\\[\\frac{7}{2}\\]小，则这个数是__________. <br/>
mjsdxxb12q3bA11	比较下列实数的大小：\\[3\\sqrt{6}\\] _________\\[2\\sqrt{13}\\].<br/>
mjsdxxb12q3bA12	如图,阴影部分是以直角三角形的三边为直径的半圆，两个小半圆的直径之比是3:4,面积和为57.则最大的半圆面积_______.<br/>
mjsdxxb12q3bA13	如图,将一根25cm长的细木棒放入长、宽、高分别为8cm、6cm和\\[10\\sqrt{3}\\]cm的长方体无盖盒子中,则细木棒露在盒外面的最短长度是若\\[\\sqrt{a+1}\\]的整数部分为3,则a的取值范围是________.             cm.<br/>
mjsdxxb12q3bA14	若\\[\\sqrt{a+1}\\]的整数部分为3,则a的取值范围是________.<br/>
mjsdxxb12q3bA15	若\\[\\sqrt{14}=x\\]，且\\[\\sqrt{y}=\\frac{x}{2}\\]，则y= __________.<br/>
mjsdxxb12q3bA16	如图，已知\\[Rt\\Delta ABC\\]是直角边长为1的等腰直角三角形，以\\[Rt\\Delta ABC\\]的斜边AC为直角边，画第二个等腰\\[Rt\\Delta ACD\\]，再以\\[Rt\\Delta ACD\\]的斜边AD为直角边，画第三个等腰\\[Rt\\Delta ADE\\],\	…，依此类推，第n个等腰直角三角形的斜边长是_________.<br/>
mjsdxxb12q3bA1701	\\[-{{1}^{2}}+{{\\left( \\pi -1 \\right)}^{0}}+{{\\left( -\\frac{1}{2} \\right)}^{-2}}+\\sqrt{9}\\]<br/>
mjsdxxb12q3bA1702	\\[-{{2}^{2}}-(-2.5)\\times \\sqrt[3]{64}+\\left[ \\sqrt[3]{-{{3}^{3}}}-{{\\left( -3 \\right)}^{2}} \\right]\\]<br/>
